laureateID,category,fullName,year,age,gender,bornCountry,organizationCountry
160,Chemistry,Jacobus H. van 't Hoff,1901,49.0,Male,the Netherlands,Germany
569,Literature,Sully Prudhomme,1901,62.0,Male,France,
293,Medicine,Emil von Behring,1901,47.0,Male,Poland,Germany
463,Peace,Frederic Passy,1901,73.0,Male,France,
462,Peace,Henry Dunant,1901,73.0,Male,Switzerland,
1,Physics,Wilhelm Conrad Rontgen,1901,56.0,Male,Germany,Germany
161,Chemistry,Emil Fischer,1902,50.0,Male,Germany,Germany
571,Literature,Theodor Mommsen,1902,85.0,Male,Germany,
294,Medicine,Ronald Ross,1902,45.0,Male,India,United Kingdom
464,Peace,Elie Ducommun,1902,69.0,Male,Switzerland,
465,Peace,Albert Gobat,1902,69.0,Male,Switzerland,
3,Physics,Pieter Zeeman,1902,49.0,Male,the Netherlands,the Netherlands
2,Physics,Hendrik A. Lorentz,1902,49.0,Male,the Netherlands,the Netherlands
162,Chemistry,Svante Arrhenius,1903,44.0,Male,Sweden,Sweden
572,Literature,Bjornstjerne Bjornson,1903,71.0,Male,Norway,
295,Medicine,Niels Ryberg Finsen,1903,43.0,Male,Faroe Islands (Denmark),Denmark
466,Peace,Randal Cremer,1903,75.0,Male,United Kingdom,
5,Physics,Pierre Curie,1903,51.0,Male,France,France
4,Physics,Henri Becquerel,1903,51.0,Male,France,France
6,Physics,Marie Curie,1903,51.0,Female,Poland,
163,Chemistry,Sir William Ramsay,1904,52.0,Male,Scotland,United Kingdom
574,Literature,Jose Echegaray,1904,74.0,Male,Spain,
573,Literature,Frederic Mistral,1904,74.0,Male,France,
296,Medicine,Ivan Pavlov,1904,55.0,Male,Russia,Russia
467,Peace,Institute of International Law ,1904,,Organization,,
8,Physics,Lord Rayleigh,1904,62.0,Male,United Kingdom,United Kingdom
164,Chemistry,Adolf von Baeyer,1905,70.0,Male,Germany,Germany
575,Literature,Henryk Sienkiewicz,1905,59.0,Male,Poland,
297,Medicine,Robert Koch,1905,62.0,Male,Germany,Germany
468,Peace,Bertha von Suttner,1905,62.0,Female,Czech Republic,
9,Physics,Philipp Lenard,1905,43.0,Male,Slovakia,Germany
165,Chemistry,Henri Moissan,1906,54.0,Male,France,France
576,Literature,Giosue Carducci,1906,71.0,Male,Italy,
299,Medicine,Santiago Ramon y Cajal,1906,63.0,Male,Spain,Spain
298,Medicine,Camillo Golgi,1906,63.0,Male,Italy,Italy
470,Peace,Theodore Roosevelt,1906,48.0,Male,USA,
10,Physics,J.J. Thomson,1906,50.0,Male,United Kingdom,United Kingdom
166,Chemistry,Eduard Buchner,1907,47.0,Male,Germany,Germany
577,Literature,Rudyard Kipling,1907,42.0,Male,India,
300,Medicine,Alphonse Laveran,1907,62.0,Male,France,France
472,Peace,Louis Renault,1907,74.0,Male,France,France
471,Peace,Ernesto Teodoro Moneta,1907,74.0,Male,Italy,
11,Physics,Albert A. Michelson,1907,55.0,Male,Poland,USA
167,Chemistry,Ernest Rutherford,1908,37.0,Male,New Zealand,United Kingdom
578,Literature,Rudolf Eucken,1908,62.0,Male,Germany,
302,Medicine,Paul Ehrlich,1908,63.0,Male,Poland,Germany
301,Medicine,Ilya Mechnikov,1908,63.0,Male,Ukraine,France
474,Peace,Fredrik Bajer,1908,64.0,Male,Denmark,
473,Peace,Klas Pontus Arnoldson,1908,64.0,Male,Sweden,
12,Physics,Gabriel Lippmann,1908,63.0,Male,Luxembourg,France
168,Chemistry,Wilhelm Ostwald,1909,56.0,Male,Latvia,Germany
579,Literature,Selma Lagerlof,1909,51.0,Female,Sweden,
303,Medicine,Theodor Kocher,1909,68.0,Male,Switzerland,Switzerland
476,Peace,Paul Henri d'Estournelles de Constant,1909,80.0,Male,France,
475,Peace,Auguste Beernaert,1909,80.0,Male,Belgium,
14,Physics,Ferdinand Braun,1909,35.0,Male,Germany,France
13,Physics,Guglielmo Marconi,1909,35.0,Male,Italy,United Kingdom
